Name                                              ,Year
a-military-tribute-at-the-greenbrier              ,2019
3m-open                                           ,2019
3m-open                                           ,2020
at-t-pebble-beach-pro-am                          ,2019
at-t-pebble-beach-pro-am                          ,2020
arnold-palmer-invitational-presented-by-mastercard,2019
arnold-palmer-invitational-presented-by-mastercard,2020
bmw-championship                                  ,2019
bmw-championship                                  ,2020
charles-schwab-challenge                          ,2020
charles-schwab-challenge                          ,2019
farmers-insurance-open                            ,2019
farmers-insurance-open                            ,2020
the-memorial-tournament-presented-by-nationwide   ,2019
the-memorial-tournament-presented-by-nationwide   ,2020